time,header,pose
2024/06/27 13:19:35.602148081,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': 'map'}","{'position': {'x': 0.0008881934748483396, 'y': 2.2000120859405246, 'z': 0.0}, 'orientation': {'x': 0.0, 'y': 0.0, 'z': 0.015354437893080233, 'w': 0.9998821136699003}}"
2024/06/27 13:19:35.654643451,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': 'map'}","{'position': {'x': 0.0008882254749304179, 'y': 2.2000121760157825, 'z': 0.0}, 'orientation': {'x': 0.0, 'y': 0.0, 'z': 0.015355383262937086, 'w': 0.9998820991521192}}"
2024/06/27 13:19:35.706599785,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': 'map'}","{'position': {'x': 0.0008883479586033375, 'y': 2.200012120491011, 'z': 0.0}, 'orientation': {'x': 0.0, 'y': 0.0, 'z': 0.015357287959946304, 'w': 0.9998820698995033}}"
2024/06/27 13:19:35.758497814,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': 'map'}","{'position': {'x': 0.0008884302644696055, 'y': 2.20001203878984, 'z': 0.0}, 'orientation': {'x': 0.0, 'y': 0.0, 'z': 0.015358227061213646, 'w': 0.9998820554753126}}"
2024/06/27 13:19:35.811039515,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': 'map'}","{'position': {'x': 0.0008884803042436561, 'y': 2.20001227670907, 'z': 0.0}, 'orientation': {'x': 0.0, 'y': 0.0, 'z': 0.015360135280503581, 'w': 0.9998820261631692}}"
2024/06/27 13:19:35.863035109,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': 'map'}","{'position': {'x': 0.0008885723376236421, 'y': 2.200012128498158, 'z': 0.0}, 'orientation': {'x': 0.0, 'y': 0.0, 'z': 0.01536109793797329, 'w': 0.9998820113744121}}"
2024/06/27 13:19:35.915254957,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': 'map'}","{'position': {'x': 0.0008886884329884158, 'y': 2.2000121775989405, 'z': 0.0}, 'orientation': {'x': 0.0, 'y': 0.0, 'z': 0.015362966993347058, 'w': 0.9998819826585342}}"
2024/06/27 13:19:35.967196649,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': 'map'}","{'position': {'x': 0.0008887316591847774, 'y': 2.2000122629920873, 'z': 0.0}, 'orientation': {'x': 0.0, 'y': 0.0, 'z': 0.01536391080097665, 'w': 0.9998819681566918}}"
2024/06/27 13:19:36.20896401,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': 'map'}","{'position': {'x': 0.000888788660066743, 'y': 2.2000121555350116, 'z': 0.0}, 'orientation': {'x': 0.0, 'y': 0.0, 'z': 0.015364876854755665, 'w': 0.9998819533121088}}"
2024/06/27 13:19:36.84813708,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': 'map'}","{'position': {'x': 0.0008889099297701967, 'y': 2.200012091096832, 'z': 0.0}, 'orientation': {'x': 0.0, 'y': 0.0, 'z': 0.015366790377717925, 'w': 0.9998819239057616}}"
2024/06/27 13:19:36.137139403,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': 'map'}","{'position': {'x': 0.0008890255459473436, 'y': 2.200012218982695, 'z': 0.0}, 'orientation': {'x': 0.0, 'y': 0.0, 'z': 0.015368671008477556, 'w': 0.9998818950013212}}"
2024/06/27 13:19:36.189826202,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': 'map'}","{'position': {'x': 0.0008891028371567131, 'y': 2.2000121251435263, 'z': 0.0}, 'orientation': {'x': 0.0, 'y': 0.0, 'z': 0.015369642113652026, 'w': 0.9998818800744907}}"
2024/06/27 13:19:36.242166650,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': 'map'}","{'position': {'x': 0.0008891160138277999, 'y': 2.200012171028517, 'z': 0.0}, 'orientation': {'x': 0.0, 'y': 0.0, 'z': 0.01537157047028714, 'w': 0.9998818504309782}}"
2024/06/27 13:19:36.295947048,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': 'map'}","{'position': {'x': 0.0008892089570039725, 'y': 2.2000121959426715, 'z': 0.0}, 'orientation': {'x': 0.0, 'y': 0.0, 'z': 0.015372482611468244, 'w': 0.9998818364078628}}"
2024/06/27 13:19:36.347946867,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': 'map'}","{'position': {'x': 0.0008892952885563863, 'y': 2.2000121781366917, 'z': 0.0}, 'orientation': {'x': 0.0, 'y': 0.0, 'z': 0.01537343763371201, 'w': 0.9998818217246088}}"
2024/06/27 13:19:36.400115789,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': 'map'}","{'position': {'x': 0.0008893468743992142, 'y': 2.2000121083205486, 'z': 0.0}, 'orientation': {'x': 0.0, 'y': 0.0, 'z': 0.015375393970438633, 'w': 0.9998817916435191}}"
2024/06/27 13:19:36.452922646,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': 'map'}","{'position': {'x': 0.0008893943266488713, 'y': 2.2000121877782233, 'z': 0.0}, 'orientation': {'x': 0.0, 'y': 0.0, 'z': 0.015376342546479202, 'w': 0.9998817770566145}}"
