time,linear,angular
2024/06/27 13:23:42.530269832,"{'x': 1.42842663725703, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.01946916081519312}"
2024/06/27 13:23:42.582593654,"{'x': 1.438673152839879, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.023918084100035486}"
2024/06/27 13:23:42.635108257,"{'x': 1.4388294721274018, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.02592831526657058}"
2024/06/27 13:23:42.688215152,"{'x': 1.4471234059691778, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.03723397399695649}"
2024/06/27 13:23:42.740679216,"{'x': 1.4473126222541792, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.046985854649196135}"
2024/06/27 13:23:42.793594302,"{'x': 1.4566935295080063, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.056764948325469966}"
2024/06/27 13:23:42.846111495,"{'x': 1.4539275589253287, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.07599185777841022}"
2024/06/27 13:23:42.910801231,"{'x': 1.4600427537327696, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.09878131097382514}"
2024/06/27 13:23:42.963195975,"{'x': 1.4605654109578639, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.1131437565345399}"
2024/06/27 13:23:43.15563787,"{'x': 1.4789094991208813, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.126891163026027}"
2024/06/27 13:23:43.68342047,"{'x': 1.4557592843327258, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.155377844629788}"
2024/06/27 13:23:43.122023647,"{'x': 1.4992554293991973, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.16871629207619598}"
2024/06/27 13:23:43.179761727,"{'x': 1.4792726105091785, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.18725451476737653}"
2024/06/27 13:23:43.227744343,"{'x': 1.5215026210557943, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.19426419093655944}"
2024/06/27 13:23:43.281322975,"{'x': 1.4835644053520056, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.1885198258062113}"
2024/06/27 13:23:43.333755387,"{'x': 1.5172272751293476, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.1935563337994184}"
2024/06/27 13:23:43.392082793,"{'x': 1.500510469364024, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.9462207926649802}"
2024/06/27 13:23:43.444521533,"{'x': 1.5221870432173388, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.9539885568482696}"
2024/06/27 13:23:43.492837652,"{'x': 1.500604107188289, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.7285104652611727}"
2024/06/27 13:23:43.555670056,"{'x': 1.5180975379399297, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.475941774030729}"
