time,linear,angular
2024/06/27 13:24:24.177399526,"{'x': -0.1706194171755085, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -3.237810122151788}"
2024/06/27 13:24:24.187041616,"{'x': 4.569940561885377e-05, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -3.237815877256698}"
2024/06/27 13:24:24.234903382,"{'x': 6.313529937750793e-05, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -3.2378424101322234}"
2024/06/27 13:24:24.290684622,"{'x': 0.005639847187229576, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -3.0830740236555068}"
2024/06/27 13:24:24.353833108,"{'x': 0.007983100379096199, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -2.9369811094670317}"
2024/06/27 13:24:24.418603148,"{'x': 0.0020751924565698024, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -2.627365544444205}"
2024/06/27 13:24:24.466929798,"{'x': 0.0020663378278280133, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -2.4783650550231937}"
2024/06/27 13:24:24.517711094,"{'x': 0.018030035668710233, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -2.218524208064242}"
2024/06/27 13:24:24.570855141,"{'x': 0.03612192588141071, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -2.0925431026549495}"
2024/06/27 13:24:24.625074702,"{'x': 0.06726369225342049, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -1.9804700105093356}"
2024/06/27 13:24:24.691072564,"{'x': 0.10463799978687643, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -1.7533869795104446}"
2024/06/27 13:24:24.745634005,"{'x': 0.11560659546116683, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -1.6032006974327069}"
2024/06/27 13:24:24.806161034,"{'x': 0.14963019442468117, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -1.3436815005311944}"
2024/06/27 13:24:24.854719997,"{'x': 0.1792575058135796, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -1.123436408855384}"
2024/06/27 13:24:24.907394450,"{'x': 0.17751470776321981, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -1.0575541612659807}"
2024/06/27 13:24:24.959422309,"{'x': 0.2049778980008213, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.9665368776882453}"
2024/06/27 13:24:25.27321858,"{'x': 0.2103285433121995, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.893269918535748}"
2024/06/27 13:24:25.80753020,"{'x': 0.23012682252754751, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.8235249016225632}"
2024/06/27 13:24:25.130218599,"{'x': 0.229862759868936, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.7467513642963706}"
2024/06/27 13:24:25.183967753,"{'x': 0.24934587753590456, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.6982163669804935}"
2024/06/27 13:24:25.237370669,"{'x': 0.2675550694214911, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.6476441170587668}"
2024/06/27 13:24:25.303885582,"{'x': 0.2653867796391477, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.6141351357095663}"
2024/06/27 13:24:25.357226948,"{'x': 0.28396280248646844, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.5853947026569308}"
2024/06/27 13:24:25.411840546,"{'x': 0.2791145522778756, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.5643584327574649}"
2024/06/27 13:24:25.465302844,"{'x': 0.2968532630927919, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.5346059914073988}"
2024/06/27 13:24:25.513045561,"{'x': 0.2944842934806481, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.5271297139220055}"
2024/06/27 13:24:25.570837613,"{'x': 0.3046226751041088, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.5010513162312966}"
2024/06/27 13:24:25.622952595,"{'x': 0.3101396507809962, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.49690737807517316}"
2024/06/27 13:24:25.686991793,"{'x': 0.320282336788208, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.4748421858991172}"
2024/06/27 13:24:25.734230935,"{'x': 0.3208688100260704, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.46826214118965037}"
2024/06/27 13:24:25.797827663,"{'x': 0.3309409579751296, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.45355370083106017}"
2024/06/27 13:24:25.850625006,"{'x': 0.32702843860906927, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.44689350557272167}"
2024/06/27 13:24:25.919312001,"{'x': 0.33089100496354634, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.44064581815837034}"
