time,header,pose
2024/06/27 13:19:34.607412126,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': 'map'}","{'position': {'x': -7.749114049029812, 'y': -21.699987940038536, 'z': 0.0}, 'orientation': {'x': 0.0, 'y': 0.0, 'z': 0.015312410458017789, 'w': 0.9998827581701593}}"
2024/06/27 13:19:34.659313884,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': 'map'}","{'position': {'x': -7.749114018117352, 'y': -21.699987921839423, 'z': 0.0}, 'orientation': {'x': 0.0, 'y': 0.0, 'z': 0.015313376263495587, 'w': 0.9998827433791487}}"
2024/06/27 13:19:34.722496928,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': 'map'}","{'position': {'x': -7.749113976361536, 'y': -21.69998792311535, 'z': 0.0}, 'orientation': {'x': 0.0, 'y': 0.0, 'z': 0.01531530911437498, 'w': 0.9998827137753363}}"
2024/06/27 13:19:34.785541163,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': 'map'}","{'position': {'x': -7.749113927759561, 'y': -21.699987925654657, 'z': 0.0}, 'orientation': {'x': 0.0, 'y': 0.0, 'z': 0.01531625592088748, 'w': 0.9998826992725526}}"
2024/06/27 13:19:34.837047255,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': 'map'}","{'position': {'x': -7.749113739845251, 'y': -21.699987928905454, 'z': 0.0}, 'orientation': {'x': 0.0, 'y': 0.0, 'z': 0.015318118955145586, 'w': 0.9998826707327595}}"
2024/06/27 13:19:34.888729972,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': 'map'}","{'position': {'x': -7.749113697964628, 'y': -21.699987912268025, 'z': 0.0}, 'orientation': {'x': 0.0, 'y': 0.0, 'z': 0.015319088323869141, 'w': 0.9998826558816417}}"
2024/06/27 13:19:34.941983949,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': 'map'}","{'position': {'x': -7.749113665445779, 'y': -21.699987931031583, 'z': 0.0}, 'orientation': {'x': 0.0, 'y': 0.0, 'z': 0.015320046352798117, 'w': 0.9998826412033305}}"
2024/06/27 13:19:35.5086492,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': 'map'}","{'position': {'x': -7.749113587318139, 'y': -21.699987933458274, 'z': 0.0}, 'orientation': {'x': 0.0, 'y': 0.0, 'z': 0.01532196592953647, 'w': 0.9998826117900311}}"
2024/06/27 13:19:35.56732739,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': 'map'}","{'position': {'x': -7.749113571707667, 'y': -21.699987927011765, 'z': 0.0}, 'orientation': {'x': 0.0, 'y': 0.0, 'z': 0.01532293271013401, 'w': 0.9998825969748452}}"
2024/06/27 13:19:35.108749291,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': 'map'}","{'position': {'x': -7.7491133918250465, 'y': -21.699987882828466, 'z': 0.0}, 'orientation': {'x': 0.0, 'y': 0.0, 'z': 0.015324787991698816, 'w': 0.999882568541431}}"
2024/06/27 13:19:35.171411454,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': 'map'}","{'position': {'x': -7.749113365074591, 'y': -21.699987908597834, 'z': 0.0}, 'orientation': {'x': 0.0, 'y': 0.0, 'z': 0.015325768610989242, 'w': 0.9998825535114023}}"
2024/06/27 13:19:35.222838388,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': 'map'}","{'position': {'x': -7.749113272173457, 'y': -21.69998794503657, 'z': 0.0}, 'orientation': {'x': 0.0, 'y': 0.0, 'z': 0.01532768385361605, 'w': 0.9998825241535545}}"
2024/06/27 13:19:35.275558124,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': 'map'}","{'position': {'x': -7.7491132012161525, 'y': -21.699987958196687, 'z': 0.0}, 'orientation': {'x': 0.0, 'y': 0.0, 'z': 0.015328627767286948, 'w': 0.9998825096833988}}"
2024/06/27 13:19:35.338974359,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': 'map'}","{'position': {'x': -7.74911308436808, 'y': -21.699987854926345, 'z': 0.0}, 'orientation': {'x': 0.0, 'y': 0.0, 'z': 0.015330514921711969, 'w': 0.9998824807507306}}"
2024/06/27 13:19:35.392041172,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': 'map'}","{'position': {'x': -7.749113048721182, 'y': -21.69998784807445, 'z': 0.0}, 'orientation': {'x': 0.0, 'y': 0.0, 'z': 0.015331465486245753, 'w': 0.9998824661759221}}"
2024/06/27 13:19:35.444070521,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': 'map'}","{'position': {'x': -7.749112913737763, 'y': -21.699987932694476, 'z': 0.0}, 'orientation': {'x': 0.0, 'y': 0.0, 'z': 0.015333375630898082, 'w': 0.999882436885338}}"
2024/06/27 13:19:35.496765053,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': 'map'}","{'position': {'x': -7.7491128642210745, 'y': -21.699987830747546, 'z': 0.0}, 'orientation': {'x': 0.0, 'y': 0.0, 'z': 0.015334318179707547, 'w': 0.9998824224307393}}"
2024/06/27 13:19:35.550167499,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': 'map'}","{'position': {'x': -7.749112835136507, 'y': -21.699987929972146, 'z': 0.0}, 'orientation': {'x': 0.0, 'y': 0.0, 'z': 0.015336270447232686, 'w': 0.9998823924886213}}"
2024/06/27 13:19:35.602135147,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': 'map'}","{'position': {'x': -7.749112731123379, 'y': -21.69998792788872, 'z': 0.0}, 'orientation': {'x': 0.0, 'y': 0.0, 'z': 0.015337192060628387, 'w': 0.9998823783524217}}"
2024/06/27 13:19:35.654669220,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': 'map'}","{'position': {'x': -7.749112651125523, 'y': -21.699987900585462, 'z': 0.0}, 'orientation': {'x': 0.0, 'y': 0.0, 'z': 0.015339119528756726, 'w': 0.999882348785137}}"
2024/06/27 13:19:35.706751321,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': 'map'}","{'position': {'x': -7.749112607803427, 'y': -21.69998790022441, 'z': 0.0}, 'orientation': {'x': 0.0, 'y': 0.0, 'z': 0.015340089831932285, 'w': 0.9998823338993185}}"
2024/06/27 13:19:35.758465265,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': 'map'}","{'position': {'x': -7.749112456236718, 'y': -21.69998792898877, 'z': 0.0}, 'orientation': {'x': 0.0, 'y': 0.0, 'z': 0.015341945179516469, 'w': 0.9998823054330488}}"
2024/06/27 13:19:35.811076947,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': 'map'}","{'position': {'x': -7.74911240317847, 'y': -21.699987904875236, 'z': 0.0}, 'orientation': {'x': 0.0, 'y': 0.0, 'z': 0.015342892951062453, 'w': 0.9998822908902288}}"
2024/06/27 13:19:35.862954379,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': 'map'}","{'position': {'x': -7.749112303386335, 'y': -21.6999878982647, 'z': 0.0}, 'orientation': {'x': 0.0, 'y': 0.0, 'z': 0.015344807043251975, 'w': 0.9998822615172275}}"
2024/06/27 13:19:35.915280929,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': 'map'}","{'position': {'x': -7.749112294814223, 'y': -21.69998790693538, 'z': 0.0}, 'orientation': {'x': 0.0, 'y': 0.0, 'z': 0.015345798156546585, 'w': 0.9998822463065031}}"
2024/06/27 13:19:35.967184987,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': 'map'}","{'position': {'x': -7.74911225100157, 'y': -21.699987915397607, 'z': 0.0}, 'orientation': {'x': 0.0, 'y': 0.0, 'z': 0.015346763619354041, 'w': 0.9998822314884946}}"
2024/06/27 13:19:36.20922601,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': 'map'}","{'position': {'x': -7.749112071886341, 'y': -21.699987923470946, 'z': 0.0}, 'orientation': {'x': 0.0, 'y': 0.0, 'z': 0.015348614141268249, 'w': 0.9998822030839145}}"
2024/06/27 13:19:36.84832855,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': 'map'}","{'position': {'x': -7.749112037571693, 'y': -21.69998791207658, 'z': 0.0}, 'orientation': {'x': 0.0, 'y': 0.0, 'z': 0.01534956759467846, 'w': 0.9998821884475473}}"
2024/06/27 13:19:36.137176459,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': 'map'}","{'position': {'x': -7.749111985940918, 'y': -21.699987811942872, 'z': 0.0}, 'orientation': {'x': 0.0, 'y': 0.0, 'z': 0.015351501063603513, 'w': 0.9998821587642687}}"
2024/06/27 13:19:36.189864519,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': 'map'}","{'position': {'x': -7.749111919768566, 'y': -21.69998789220952, 'z': 0.0}, 'orientation': {'x': 0.0, 'y': 0.0, 'z': 0.015352471856456407, 'w': 0.9998821438589134}}"
2024/06/27 13:19:36.242242206,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': 'map'}","{'position': {'x': -7.749111789025652, 'y': -21.699987931368533, 'z': 0.0}, 'orientation': {'x': 0.0, 'y': 0.0, 'z': 0.015354336935434325, 'w': 0.999882115220226}}"
2024/06/27 13:19:36.295847671,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': 'map'}","{'position': {'x': -7.749111718594757, 'y': -21.69998783113298, 'z': 0.0}, 'orientation': {'x': 0.0, 'y': 0.0, 'z': 0.015355277692404476, 'w': 0.9998821007733808}}"
2024/06/27 13:19:36.347873778,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': 'map'}","{'position': {'x': -7.749111644134764, 'y': -21.699987885827923, 'z': 0.0}, 'orientation': {'x': 0.0, 'y': 0.0, 'z': 0.015357221232767993, 'w': 0.9998820709243704}}"
2024/06/27 13:19:36.400110355,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': 'map'}","{'position': {'x': -7.749111601063428, 'y': -21.699987913737143, 'z': 0.0}, 'orientation': {'x': 0.0, 'y': 0.0, 'z': 0.015358177496109725, 'w': 0.9998820562366333}}"
2024/06/27 13:19:36.453048939,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': 'map'}","{'position': {'x': -7.749111487676291, 'y': -21.699987835792005, 'z': 0.0}, 'orientation': {'x': 0.0, 'y': 0.0, 'z': 0.015360072759052323, 'w': 0.9998820271236185}}"
2024/06/27 13:19:36.506270374,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': 'map'}","{'position': {'x': -7.749111425830765, 'y': -21.69998780723627, 'z': 0.0}, 'orientation': {'x': 0.0, 'y': 0.0, 'z': 0.015361005677241555, 'w': 0.9998820127918012}}"
