time,linear,angular
2024/06/27 13:24:22.809947246,"{'x': 1418.5380137434645, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -1.775085388530782}"
2024/06/27 13:24:22.817818512,"{'x': 0.029638143282580312, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -1.775088315218059}"
2024/06/27 13:24:22.861551396,"{'x': 0.9454032801128641, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -1.8208739286100721}"
2024/06/27 13:24:22.925765752,"{'x': 0.20297343606833562, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -1.8070252907306066}"
2024/06/27 13:24:22.977394921,"{'x': 0.8945646267955166, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -1.723494115269021}"
2024/06/27 13:24:23.29463521,"{'x': 0.2658631460822913, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -1.6412168240279028}"
2024/06/27 13:24:23.88291611,"{'x': 0.8707995897342768, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -1.5809671712153337}"
2024/06/27 13:24:23.136496984,"{'x': 0.35454854991047413, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -1.4367823115900467}"
2024/06/27 13:24:23.192648560,"{'x': 0.8751754377403658, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -1.380605676654636}"
2024/06/27 13:24:23.253457256,"{'x': 0.4622625422144273, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -1.2480701346299563}"
2024/06/27 13:24:23.362727907,"{'x': 0.8548076031367899, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -1.197495869470941}"
2024/06/27 13:24:23.371301105,"{'x': 0.5642433132115023, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -1.0964641943078788}"
2024/06/27 13:24:23.429331226,"{'x': 0.5536078639393033, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -1.0334687872464663}"
2024/06/27 13:24:23.489992462,"{'x': 0.6439902092736405, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.9807668410718167}"
2024/06/27 13:24:23.554382846,"{'x': 0.6703896592599905, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.8821788977267584}"
2024/06/27 13:24:23.607299397,"{'x': 0.7442696362299926, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.7795530570633709}"
2024/06/27 13:24:23.664091781,"{'x': 0.7686051422192832, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.7327600829270775}"
2024/06/27 13:24:23.713078526,"{'x': 0.838842113062481, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.6466147296417795}"
2024/06/27 13:24:23.766462465,"{'x': 0.8614059779764824, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.6066302510745301}"
2024/06/27 13:24:23.831064048,"{'x': 0.9283414229492355, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.5074689312535803}"
2024/06/27 13:24:23.893176565,"{'x': 0.9442164491336539, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.4683948637083919}"
2024/06/27 13:24:23.956383563,"{'x': 1.0255404420728562, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.3399073924899776}"
2024/06/27 13:24:24.10285491,"{'x': 1.017716276513123, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.3017019198976181}"
2024/06/27 13:24:24.72506432,"{'x': 1.0935115537043292, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.12243239939916073}"
2024/06/27 13:24:24.127073335,"{'x': 1.0882011818969195, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.008926181559808732}"
2024/06/27 13:24:24.181393519,"{'x': 1.1498891966582745, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.14963919600555808}"
2024/06/27 13:24:24.234808603,"{'x': 1.1423706755129683, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.05872269826524246}"
2024/06/27 13:24:24.287761898,"{'x': 1.2006118386465148, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.28277141646241066}"
2024/06/27 13:24:24.353246170,"{'x': 1.186079003948831, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.31792785292915493}"
2024/06/27 13:24:24.418059420,"{'x': 1.2111993446556986, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.5189985960291805}"
2024/06/27 13:24:24.466007596,"{'x': 1.1987046715165532, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.5869196156876466}"
2024/06/27 13:24:24.522030190,"{'x': 1.2367198766254786, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.6238377559066137}"
2024/06/27 13:24:24.570992315,"{'x': 1.2235619631242654, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.6636553281397148}"
2024/06/27 13:24:24.623721772,"{'x': 1.25712184417648, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.6841359154856326}"
2024/06/27 13:24:24.690797649,"{'x': 1.2740013390840885, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.6949816911522557}"
2024/06/27 13:24:24.740515286,"{'x': 1.2738154902829073, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.697458787308574}"
2024/06/27 13:24:24.804940587,"{'x': 1.2911657959578595, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.6903457276535852}"
2024/06/27 13:24:24.854375849,"{'x': 1.286248926848916, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.6837268089623674}"
2024/06/27 13:24:24.906867037,"{'x': 1.3010884832956344, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.6658857094013699}"
2024/06/27 13:24:24.961611343,"{'x': 1.2994354716340197, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.655925114927391}"
2024/06/27 13:24:25.25714575,"{'x': 1.3131896932819598, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.6309503401869607}"
2024/06/27 13:24:25.78203371,"{'x': 1.3143998985888028, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.6144185817671124}"
2024/06/27 13:24:25.133968175,"{'x': 1.3313472367886234, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.6920485664352052}"
