time,header,pose
2024/06/27 13:19:35.602268390,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': 'map'}","{'position': {'x': 4.250887590604249, 'y': -27.499987875235675, 'z': 0.0}, 'orientation': {'x': 0.0, 'y': 0.0, 'z': 0.015342946341697583, 'w': 0.9998822900709642}}"
2024/06/27 13:19:35.654674120,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': 'map'}","{'position': {'x': 4.25088768920504, 'y': -27.499987884439648, 'z': 0.0}, 'orientation': {'x': 0.0, 'y': 0.0, 'z': 0.015344874377005416, 'w': 0.9998822604838802}}"
2024/06/27 13:19:35.706616067,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': 'map'}","{'position': {'x': 4.250887737533314, 'y': -27.499987900703264, 'z': 0.0}, 'orientation': {'x': 0.0, 'y': 0.0, 'z': 0.015345844511646573, 'w': 0.9998822455950622}}"
2024/06/27 13:19:35.758641296,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': 'map'}","{'position': {'x': 4.2508878492449025, 'y': -27.499987880064158, 'z': 0.0}, 'orientation': {'x': 0.0, 'y': 0.0, 'z': 0.015347698947108327, 'w': 0.9998822171321124}}"
2024/06/27 13:19:35.811086814,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': 'map'}","{'position': {'x': 4.250887873045319, 'y': -27.499987861823485, 'z': 0.0}, 'orientation': {'x': 0.0, 'y': 0.0, 'z': 0.015348692377880488, 'w': 0.9998822018829464}}"
2024/06/27 13:19:35.862975176,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': 'map'}","{'position': {'x': 4.250887925593078, 'y': -27.49998785702394, 'z': 0.0}, 'orientation': {'x': 0.0, 'y': 0.0, 'z': 0.015349662163730847, 'w': 0.9998821869957777}}"
2024/06/27 13:19:35.915261775,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': 'map'}","{'position': {'x': 4.250888065541473, 'y': -27.499987897555396, 'z': 0.0}, 'orientation': {'x': 0.0, 'y': 0.0, 'z': 0.015351534464784463, 'w': 0.9998821582514494}}"
2024/06/27 13:19:35.967318579,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': 'map'}","{'position': {'x': 4.2508881196780655, 'y': -27.499987928863106, 'z': 0.0}, 'orientation': {'x': 0.0, 'y': 0.0, 'z': 0.015352478808405559, 'w': 0.9998821437521711}}"
2024/06/27 13:19:36.21068331,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': 'map'}","{'position': {'x': 4.250888204977492, 'y': -27.499987859379175, 'z': 0.0}, 'orientation': {'x': 0.0, 'y': 0.0, 'z': 0.015354401821860271, 'w': 0.9998821142238183}}"
2024/06/27 13:19:36.84816409,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': 'map'}","{'position': {'x': 4.2508882490357305, 'y': -27.499987805186542, 'z': 0.0}, 'orientation': {'x': 0.0, 'y': 0.0, 'z': 0.01535536968267781, 'w': 0.9998820993606737}}"
2024/06/27 13:19:36.137275784,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': 'map'}","{'position': {'x': 4.250888362181161, 'y': -27.499987872847427, 'z': 0.0}, 'orientation': {'x': 0.0, 'y': 0.0, 'z': 0.015357273508907249, 'w': 0.9998820701214581}}"
2024/06/27 13:19:36.189872715,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': 'map'}","{'position': {'x': 4.250888415909494, 'y': -27.499987902636395, 'z': 0.0}, 'orientation': {'x': 0.0, 'y': 0.0, 'z': 0.015358229146283162, 'w': 0.9998820554432859}}"
2024/06/27 13:19:36.242450111,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': 'map'}","{'position': {'x': 4.250888535056751, 'y': -27.49998788992576, 'z': 0.0}, 'orientation': {'x': 0.0, 'y': 0.0, 'z': 0.015360113240825876, 'w': 0.9998820265017414}}"
