time,linear,angular
2024/06/27 13:23:39.9321173,"{'x': 1461.3907883792938, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 1.0202338608424437}"
2024/06/27 13:23:39.36252889,"{'x': 0.07537229838902962, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 1.0202177498596852}"
2024/06/27 13:23:39.86979239,"{'x': 1.0211320449807686, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.5066809888886414}"
2024/06/27 13:23:39.141526665,"{'x': 0.1852289855001079, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.7879672612082569}"
2024/06/27 13:23:39.196167070,"{'x': 1.0239960078598407, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.48625925682968685}"
2024/06/27 13:23:39.260528045,"{'x': 1.0271228106109476, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.4221841018629533}"
2024/06/27 13:23:39.314096061,"{'x': 1.0262643059061853, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.4225384677087112}"
2024/06/27 13:23:39.367945475,"{'x': 1.0275044883125295, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.43684985331163784}"
2024/06/27 13:23:39.421812122,"{'x': 1.0222459445431726, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.49381614005908414}"
2024/06/27 13:23:39.474687397,"{'x': 1.022300252627823, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.5136520551165287}"
2024/06/27 13:23:39.562322200,"{'x': 1.0175745265750806, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.46774876054016445}"
2024/06/27 13:23:39.653260494,"{'x': 1.0172580146129504, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.46270463830481745}"
2024/06/27 13:23:39.734674192,"{'x': 1.010030679672605, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.4812143592539506}"
2024/06/27 13:23:39.820835737,"{'x': 1.008924268321445, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.4780785671991401}"
2024/06/27 13:23:39.902167151,"{'x': 1.000693944123247, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.4881137482551843}"
2024/06/27 13:23:39.998219388,"{'x': 0.9970363978838871, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.5275536489805184}"
2024/06/27 13:23:40.81794449,"{'x': 0.9865397059963159, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.5361686163122812}"
2024/06/27 13:23:40.155630184,"{'x': 0.9882848076660821, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.4923030142358895}"
2024/06/27 13:23:40.241398397,"{'x': 0.9942556249827706, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.52680423528665}"
2024/06/27 13:23:40.318026268,"{'x': 0.9742557295795494, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.5841790104208293}"
2024/06/27 13:23:40.379473001,"{'x': 0.9768797101666578, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.621267194126891}"
2024/06/27 13:23:40.433331570,"{'x': 0.9584181880594242, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.6757717865216257}"
2024/06/27 13:23:40.486437109,"{'x': 0.9595150970086642, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.7105208294768008}"
2024/06/27 13:23:40.541383601,"{'x': 0.9408793434827345, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.7484502634994543}"
2024/06/27 13:23:40.594515755,"{'x': 0.9414255820843808, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.7930028161997775}"
2024/06/27 13:23:40.659222769,"{'x': 0.92132331241016, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.8056996061030386}"
2024/06/27 13:23:40.711092386,"{'x': 0.9243495160369481, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.8126164095592197}"
2024/06/27 13:23:40.763623261,"{'x': 0.9065075747432332, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.8218012849509275}"
2024/06/27 13:23:40.829582365,"{'x': 0.9075750242055064, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.8303995943934188}"
2024/06/27 13:23:40.882227060,"{'x': 0.8963505924802498, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.8388826935719411}"
2024/06/27 13:23:40.936198928,"{'x': 0.8928253025294368, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.8444481970533904}"
2024/06/27 13:23:40.998771161,"{'x': 0.867128082096983, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.866071245971824}"
2024/06/27 13:23:41.52185873,"{'x': 0.9184828464751406, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.8774016438379748}"
2024/06/27 13:23:41.108834835,"{'x': 0.9227773220234943, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.8819692916908934}"
2024/06/27 13:23:41.159297908,"{'x': 0.9325353791835609, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.8892340943681942}"
2024/06/27 13:23:41.212084714,"{'x': 0.9010521655286158, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.8910028866493658}"
2024/06/27 13:23:41.264407105,"{'x': 0.9247036688956136, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.9070384447507669}"
2024/06/27 13:23:41.320663784,"{'x': 0.895299453275975, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.915632764170585}"
2024/06/27 13:23:41.369981837,"{'x': 0.9196376483446554, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.9395978738260817}"
2024/06/27 13:23:41.436303780,"{'x': 0.8877081329485446, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.9548585466262285}"
2024/06/27 13:23:41.495274439,"{'x': 0.9101093785831628, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.9834872394363039}"
2024/06/27 13:23:41.548027144,"{'x': 0.8702267242914977, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 1.0258997784230965}"
2024/06/27 13:23:41.616705815,"{'x': 0.8629911720278163, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 1.0652446699249918}"
